date,attr,value,a,b,c,d
20140117,SNOW,0,,,W,
20140117,SNWD,0,,,W,
20140117,AWND,16,,,W,
20140117,WDF2,170,,,W,
20140117,WDF5,180,,,W,
20140117,WSF2,54,,,W,
20140117,WSF5,85,,,W,
20140118,TMAX,50,,,W,2400
20140118,TMIN,-16,,,W,2400
20140118,PRCP,18,,,W,2400
20140118,SNOW,0,T,,W,
20140118,SNWD,0,,,W,
20140118,AWND,32,,,W,
20140118,WDF2,290,,,W,
20140118,WDF5,300,,,W,
20140118,WSF2,67,,,W,
20140118,WSF5,112,,,W,
20140119,TMAX,33,,,W,2400
20140119,TMIN,-43,,,W,2400
20140119,PRCP,0,,,W,2400
20140119,SNOW,0,,,W,
20140119,SNWD,0,,,W,
20140119,AWND,33,,,W,
20140119,WDF2,260,,,W,
20140119,WDF5,250,,,W,
20140119,WSF2,94,,,W,
20140119,WSF5,152,,,W,
20140120,TMAX,78,,,W,2400
20140120,TMIN,-5,,,W,2400
20140120,PRCP,0,,,W,2400
20140120,SNOW,0,,,W,
20140120,SNWD,0,,,W,
20140120,AWND,33,,,W,
20140120,WDF2,270,,,W,
20140120,WDF5,280,,,W,
20140120,WSF2,76,,,W,
20140120,WSF5,134,,,W,
20140121,TMAX,-5,,,W,2400
20140121,TMIN,-116,,,W,2400
20140121,PRCP,117,,,W,2400
20140121,SNOW,279,,,W,
20140121,SNWD,0,,,W,
20140121,AWND,47,,,W,
20140121,WDF2,30,,,W,
20140121,WDF5,40,,,W,
20140121,WSF2,89,,,W,
20140121,WSF5,134,,,W,
20140122,TMAX,-82,,,W,2400
20140122,TMIN,-149,,,W,2400
20140122,PRCP,5,,,W,2400
20140122,SNOW,13,,,W,
20140122,SNWD,280,,,W,
20140122,AWND,39,,,W,
20140122,WDF2,360,,,W,
20140122,WDF5,350,,,W,
20140122,WSF2,98,,,W,
20140122,WSF5,134,,,W,
20140123,TMAX,-66,,,W,2400
20140123,TMIN,-138,,,W,2400
20140123,PRCP,0,,,W,2400
20140123,SNOW,0,,,W,
20140123,SNWD,180,,,W,
20140123,AWND,32,,,W,
20140123,WDF2,290,,,W,
20140123,WDF5,280,,,W,
20140123,WSF2,72,,,W,
20140123,WSF5,116,,,W,
20140124,TMAX,-66,,,W,2400
20140124,TMIN,-121,,,W,2400
20140124,PRCP,0,,,W,2400
20140124,SNOW,0,,,W,
20140124,SNWD,150,,,W,
20140124,AWND,36,,,W,
20140124,WDF2,250,,,W,
