date,attr,value,a,b,c,d
20140101,TMAX,-171,,,W,2400
20140101,TMIN,-221,,,W,2400
20140101,PRCP,0,,,W,2400
20140101,SNOW,0,,,W,
20140101,SNWD,150,,,W,
20140101,AWND,30,,,W,
20140101,WDF2,50,,,W,
20140101,WDF5,40,,,W,
20140101,WSF2,54,,,W,
20140101,WSF5,94,,,W,
20140101,WT08,1,,,W,
20140102,TMAX,-155,,,W,2400
20140102,TMIN,-232,,,W,2400
20140102,PRCP,0,,,W,2400
20140102,SNOW,0,,,W,
20140102,SNWD,150,,,W,
20140102,AWND,22,,,W,
20140102,WDF2,350,,,W,
20140102,WDF5,20,,,W,
20140102,WSF2,40,,,W,
20140102,WSF5,63,,,W,
20140102,WT08,1,,,W,
20140103,TMAX,-16,,,W,2400
20140103,TMIN,-232,,,W,2400
20140103,PRCP,30,,,W,2400
20140103,SNOW,8,,,W,
20140103,SNWD,150,,,W,
20140103,AWND,59,,,W,
20140103,WDF2,170,,,W,
20140103,WDF5,170,,,W,
20140103,WSF2,107,,,W,
20140103,WSF5,139,,,W,
20140104,TMAX,17,,,W,2400
20140104,TMIN,-188,,,W,2400
20140104,PRCP,5,,,W,2400
20140104,SNOW,0,T,,W,
20140104,SNWD,150,,,W,
20140104,AWND,59,,,W,
20140104,WDF2,310,,,W,
20140104,WDF5,310,,,W,
20140104,WSF2,125,,,W,
20140104,WSF5,157,,,W,
20140105,TMAX,-188,,,W,2400
20140105,TMIN,-288,,,W,2400
20140105,PRCP,0,T,,W,2400
20140105,SNOW,0,T,,W,
20140105,SNWD,150,,,W,
20140105,AWND,59,,,W,
20140105,WDF2,310,,,W,
20140105,WDF5,310,,,W,
20140105,WSF2,94,,,W,
20140105,WSF5,125,,,W,
20140105,WT08,1,,,W,
20140106,TMAX,-243,,,W,2400
20140106,TMIN,-305,,,W,2400
20140106,PRCP,0,T,,W,2400
20140106,SNOW,0,T,,W,
20140106,SNWD,150,,,W,
20140106,AWND,60,,,W,
20140106,WDF2,280,,,W,
20140106,WDF5,270,,,W,
20140106,WSF2,98,,,W,
20140106,WSF5,116,,,W,
20140107,TMAX,-149,,,W,2400
20140107,TMIN,-260,,,W,2400
20140107,PRCP,0,,,W,2400
20140107,SNOW,0,,,W,
20140107,SNWD,150,,,W,
20140107,AWND,21,,,W,
20140107,WDF2,310,,,W,
20140107,WDF5,330,,,W,
20140107,WSF2,54,,,W,
20140107,WSF5,72,,,W,
20140108,TMAX,-155,,,W,2400
20140108,TMIN,-238,,,W,2400
20140108,PRCP,0,,,W,2400
20140108,SNOW,0,,,W,
20140108,SNWD,150,,,W,
20140108,AWND,10,,,W,
20140108,WDF2,310,,,W,
20140108,WDF5,340,,,W,
20140108,WSF2,40,,,W,
20140108,WSF5,72,,,W,
20140109,TMAX,-66,,,W,2400
20140109,TMIN,-238,,,W,2400
20140109,PRCP,0,,,W,2400
20140109,SNOW,0,,,W,
20140109,SNWD,150,,,W,
20140109,AWND,46,,,W,
20140109,WDF2,140,,,W,
20140109,WDF5,140,,,W,
20140109,WSF2,81,,,W,
20140109,WSF5,103,,,W,
20140110,TMAX,-5,,,W,2400
20140110,TMIN,-88,,,W,2400
20140110,PRCP,0,T,,W,2400
20140110,SNOW,0,T,,W,
20140110,SNWD,150,,,W,
20140110,AWND,37,,,W,
20140110,WDF2,170,,,W,
20140110,WDF5,180,,,W,
20140110,WSF2,76,,,W,
20140110,WSF5,103,,,W,
20140111,TMAX,0,,,W,2400
20140111,TMIN,-49,,,W,2400
20140111,PRCP,0,,,W,2400
20140111,SNOW,0,,,W,
20140111,SNWD,150,,,W,
20140111,AWND,38,,,W,
20140111,WDF2,290,,,W,
20140111,WDF5,290,,,W,
20140111,WSF2,81,,,W,
20140111,WSF5,103,,,W,
20140112,TMAX,44,,,W,2400
20140112,TMIN,-55,,,W,2400
20140112,PRCP,0,,,W,2400
20140112,SNOW,0,,,W,
20140112,SNWD,150,,,W,
20140112,AWND,29,,,W,
20140112,WDF2,210,,,W,
20140112,WDF5,220,,,W,
20140112,WSF2,63,,,W,
20140112,WSF5,76,,,W,
20140112,WT01,1,,,W,
20140113,TMAX,11,,,W,2400
20140113,TMIN,-27,,,W,2400
20140113,PRCP,3,,,W,2400
20140113,SNOW,8,,,W,
20140113,SNWD,150,,,W,
20140113,AWND,40,,,W,
20140113,WDF2,280,,,W,
20140113,WDF5,310,,,W,
20140113,WSF2,81,,,W,
20140113,WSF5,116,,,W,
20140113,WT01,1,,,W,
20140114,TMAX,-21,,,W,2400
20140114,TMIN,-138,,,W,2400
20140114,PRCP,66,,,W,2400
20140114,SNOW,104,,,W,
20140114,SNWD,230,,,W,
20140114,AWND,66,,,W,
20140114,WDF2,330,,,W,
20140114,WDF5,330,,,W,
20140114,WSF2,112,,,W,
20140114,WSF5,143,,,W,
20140115,TMAX,-38,,,W,2400
20140115,TMIN,-182,,,W,2400
20140115,PRCP,8,,,W,2400
20140115,SNOW,13,,,W,
20140115,SNWD,250,,,W,
20140115,AWND,43,,,W,
20140115,WDF2,200,,,W,
20140115,WDF5,190,,,W,
20140115,WSF2,81,,,W,
20140115,WSF5,116,,,W,
20140116,TMAX,17,,,W,2400
20140116,TMIN,-138,,,W,2400
20140116,PRCP,13,,,W,2400
20140116,SNOW,15,,,W,
20140116,SNWD,280,,,W,
20140116,AWND,74,,,W,
20140116,WDF2,310,,,W,
20140116,WDF5,310,,,W,
20140116,WSF2,165,,,W,
20140116,WSF5,201,,,W,
20140116,WT01,1,,,W,
20140117,TMAX,-105,,,W,2400
20140117,TMIN,-171,,,W,2400
20140117,PRCP,0,T,,W,2400
20140117,SNOW,0,T,,W,
20140117,SNWD,250,,,W,
20140117,AWND,43,,,W,
20140117,WDF2,320,,,W,
20140117,WDF5,310,,,W,
20140117,WSF2,98,,,W,
20140117,WSF5,130,,,W,
20140117,WT08,1,,,W,
20140118,TMAX,-49,,,W,2400
20140118,TMIN,-127,,,W,2400
20140118,PRCP,43,,,W,2400
20140118,SNOW,114,,,W,
20140118,SNWD,360,,,W,
20140118,AWND,44,,,W,
20140118,WDF2,120,,,W,
20140118,WDF5,20,,,W,
20140118,WSF2,98,,,W,
20140118,WSF5,134,,,W,
20140119,TMAX,39,,,W,2400
20140119,TMIN,-82,,,W,2400
20140119,PRCP,0,,,W,2400
20140119,SNOW,0,,,W,
20140119,SNWD,330,,,W,
20140119,AWND,43,,,W,
20140119,WDF2,320,,,W,
20140119,WDF5,310,,,W,
20140119,WSF2,81,,,W,
20140119,WSF5,107,,,W,
20140120,TMAX,-5,,,W,2400
20140120,TMIN,-193,,,W,2400
20140120,PRCP,3,,,W,2400
20140120,SNOW,5,,,W,
20140120,SNWD,250,,,W,
20140120,AWND,61,,,W,
20140120,WDF2,340,,,W,
20140120,WDF5,350,,,W,
20140120,WSF2,103,,,W,
20140120,WSF5,139,,,W,
20140120,WT01,1,,,W,
20140121,TMAX,-143,,,W,2400
20140121,TMIN,-249,,,W,2400
20140121,PRCP,5,,,W,2400
20140121,SNOW,13,,,W,
20140121,SNWD,250,,,W,
20140121,AWND,28,,,W,
20140121,WDF2,340,,,W,
20140121,WDF5,350,,,W,
20140121,WSF2,76,,,W,
20140121,WSF5,98,,,W,
20140122,TMAX,-132,,,W,2400
20140122,TMIN,-221,,,W,2400
20140122,PRCP,3,,,W,2400
20140122,SNOW,15,,,W,
20140122,SNWD,280,,,W,
20140122,AWND,68,,,W,
20140122,WDF2,320,,,W,
20140122,WDF5,340,,,W,
20140122,WSF2,125,,,W,
20140122,WSF5,161,,,W,
20140123,TMAX,-166,,,W,2400
20140123,TMIN,-271,,,W,2400
20140123,PRCP,0,,,W,2400
20140123,SNOW,0,,,W,
20140123,SNWD,280,,,W,
20140123,AWND,40,,,W,
20140123,WDF2,330,,,W,
20140123,WDF5,320,,,W,
20140123,WSF2,81,,,W,
20140123,WSF5,98,,,W,
20140123,WT08,1,,,W,
20140124,TMAX,6,,,W,2400
20140124,TMIN,-166,,,W,2400
20140124,PRCP,20,,,W,2400
20140124,SNOW,33,,,W,
20140124,SNWD,250,,,W,
20140124,AWND,58,,,W,
20140124,WDF2,310,,,W,
20140124,WDF5,310,,,W,
20140124,WSF2,116,,,W,
20140124,WSF5,165,,,W,
20140125,TMAX,-43,,,W,2400
20140125,TMIN,-166,,,W,2400
20140125,PRCP,28,,,W,2400
20140125,SNOW,58,,,W,
20140125,SNWD,280,,,W,
20140125,AWND,64,,,W,
20140125,WDF2,320,,,W,
20140125,WDF5,310,,,W,
20140125,WSF2,139,,,W,
20140125,WSF5,170,,,W,
20140126,TMAX,-77,,,W,2400
20140126,TMIN,-221,,,W,2400
20140126,PRCP,23,,,W,2400
20140126,SNOW,28,,,W,
20140126,SNWD,330,,,W,
20140126,AWND,79,,,W,
20140126,WDF2,290,,,W,
20140126,WDF5,290,,,W,
20140126,WSF2,157,,,W,
20140126,WSF5,210,,,W,
20140127,TMAX,-210,,,W,2400
20140127,TMIN,-266,,,W,2400
20140127,PRCP,0,,,W,2400
20140127,SNOW,0,,,W,
20140127,SNWD,300,,,W,
20140127,AWND,56,,,W,
20140127,WDF2,310,,,W,
20140127,WDF5,310,,,W,
20140127,WSF2,116,,,W,
20140127,WSF5,148,,,W,
20140127,WT08,1,,,W,
20140128,TMAX,-177,,,W,2400
20140128,TMIN,-266,,,W,2400
20140128,PRCP,0,,,W,2400
20140128,SNOW,0,,,W,
20140128,SNWD,300,,,W,
20140128,AWND,36,,,W,
20140128,WDF2,260,,,W,
20140128,WDF5,250,,,W,
20140128,WSF2,76,,,W,
20140128,WSF5,94,,,W,
20140129,TMAX,11,,,W,2400
20140129,TMIN,-210,,,W,2400
20140129,PRCP,0,,,W,2400
20140129,SNOW,0,,,W,
20140129,SNWD,300,,,W,
20140129,AWND,32,,,W,
20140129,WDF2,170,,,W,
20140129,WDF5,180,,,W,
20140129,WSF2,76,,,W,
20140129,WSF5,112,,,W,
20140129,WT08,1,,,W,
20140130,TMAX,-21,,,W,2400
20140130,TMIN,-199,,,W,2400
20140130,PRCP,112,,,W,2400
20140130,SNOW,163,,,W,
20140130,SNWD,300,,,W,
20140130,AWND,51,,,W,
20140130,WDF2,340,,,W,
20140130,WDF5,350,,,W,
20140130,WSF2,107,,,W,
20140130,WSF5,134,,,W,
20140131,TMAX,-127,,,W,2400
20140131,TMIN,-227,,,W,2400
20140131,PRCP,0,,,W,2400
20140131,SNOW,0,,,W,
20140131,SNWD,410,,,W,
20140131,AWND,25,,,W,
20140131,WDF2,230,,,W,
20140131,WDF5,220,,,W,
20140131,WSF2,54,,,W,
20140131,WSF5,67,,,W,
20140201,TMAX,-55,,,W,2400
20140201,TMIN,-182,,,W,2400
20140201,PRCP,0,T,,W,2400
20140201,SNOW,0,T,,W,
20140201,SNWD,410,,,W,
20140201,AWND,40,,,W,
20140201,WDF2,320,,,W,
20140201,WDF5,320,,,W,
20140201,WSF2,81,,,W,
20140201,WSF5,107,,,W,
20140201,WT08,1,,,W,
20140202,TMAX,-99,,,W,2400
20140202,TMIN,-216,,,W,2400
20140202,PRCP,0,,,W,2400
20140202,SNOW,0,,,W,
20140202,SNWD,380,,,W,
20140202,AWND,21,,,W,
20140202,WDF2,220,,,W,
20140202,WDF5,230,,,W,
20140202,WSF2,58,,,W,
20140202,WSF5,76,,,W,
20140203,TMAX,-88,,,W,2400
20140203,TMIN,-182,,,W,2400
20140203,PRCP,0,,,W,2400
20140203,SNOW,0,,,W,
20140203,SNWD,360,,,W,
20140203,AWND,20,,,W,
20140203,WDF2,330,,,W,
20140203,WDF5,360,,,W,
